loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
00:34.2,1009,242128.4641,-0.137054443,0.986663818,0.062194824
00:34.2,1010,242128.4741,-0.138519287,0.989654541,0.060562134
00:34.2,1011,242128.4842,-0.137451172,0.991699219,0.061172485
00:34.2,1012,242128.4942,-0.137832642,0.990020752,0.060440063
00:34.2,1013,242128.5042,-0.136581421,0.987106323,0.061233521
00:34.2,1014,242128.5142,-0.135757446,0.985473633,0.061599731
00:34.2,1015,242128.5243,-0.136383057,0.985214233,0.060409546
00:34.3,1016,242128.5343,-0.136322021,0.987457275,0.059997559
00:34.3,1017,242128.5443,-0.137329102,0.990844727,0.059631348
00:34.3,1018,242128.5544,-0.136764526,0.992553711,0.059936523
00:34.3,1019,242128.5644,-0.13848877,0.993179321,0.05960083
00:34.3,1020,242128.5744,-0.140579224,0.990371704,0.057617188
00:34.3,1021,242128.5844,-0.140914917,0.986694336,0.058868408
00:34.3,1022,242128.5945,-0.14100647,0.986068726,0.058929443
00:34.3,1023,242128.6045,-0.137832642,0.987319946,0.058990479
00:34.3,1024,242128.6145,-0.136917114,0.987915039,0.058746338
00:34.3,1025,242128.6245,-0.135192871,0.988342285,0.056762695
00:34.4,1026,242128.6345,-0.133270264,0.990158081,0.055587769
00:34.4,1027,242128.6445,-0.132232666,0.99017334,0.05430603
00:34.4,1028,242128.6545,-0.131317139,0.98916626,0.056488037
00:34.4,1029,242128.6645,-0.132232666,0.986190796,0.056762695
00:34.4,1030,242128.6745,-0.134277344,0.985229492,0.056304932
00:34.4,1031,242128.6846,-0.134933472,0.985656738,0.056777954
00:34.4,1032,242128.6946,-0.135131836,0.988037109,0.056732178
00:34.4,1033,242128.7046,-0.137252808,0.989807129,0.055587769
00:34.4,1034,242128.7146,-0.137252808,0.991668701,0.053787231
00:34.4,1035,242128.7246,-0.137710571,0.99206543,0.052108765
00:34.5,1036,242128.7346,-0.137969971,0.989212036,0.054672241
00:34.5,1037,242128.7446,-0.13734436,0.98789978,0.057861328
00:34.5,1038,242128.7546,-0.137405396,0.989013672,0.057098389
00:34.5,1039,242128.7646,-0.136962891,0.990386963,0.056625366
00:34.5,1040,242128.7747,-0.135040283,0.988937378,0.054718018
00:34.5,1041,242128.7847,-0.136001587,0.987915039,0.055160522
00:34.5,1042,242128.7947,-0.137161255,0.986633301,0.055145264
00:34.5,1043,242128.8047,-0.137130737,0.987243652,0.055908203
00:34.5,1044,242128.8147,-0.137527466,0.986602783,0.056243896
00:34.5,1045,242128.8247,-0.139083862,0.985671997,0.058853149
00:34.6,1046,242128.8347,-0.139312744,0.985443115,0.057571411
00:34.6,1047,242128.8447,-0.139053345,0.987182617,0.055130005
00:34.6,1048,242128.8547,-0.138595581,0.988983154,0.0546875
00:34.6,1049,242128.8648,-0.137329102,0.989456177,0.053970337
00:34.6,1050,242128.8748,-0.135543823,0.989715576,0.054870605
00:34.6,1051,242128.8848,-0.135421753,0.988845825,0.054138184
00:34.6,1052,242128.8948,-0.134399414,0.987609863,0.05480957
00:34.6,1053,242128.9048,-0.13470459,0.986938477,0.054580688
00:34.6,1054,242128.9148,-0.136352539,0.987426758,0.054046631
00:34.6,1055,242128.9248,-0.135772705,0.988754272,0.053222656
00:34.7,1056,242128.9348,-0.135009766,0.990036011,0.054443359
00:34.7,1057,242128.9448,-0.134902954,0.989440918,0.054946899
00:34.7,1058,242128.9548,-0.134765625,0.990539551,0.054458618
00:34.7,1059,242128.9649,-0.134689331,0.991546631,0.053787231
00:34.7,1060,242128.9749,-0.134521484,0.990020752,0.053497314
00:34.7,1061,242128.9849,-0.134719849,0.988723755,0.05418396
00:34.7,1062,242128.9949,-0.13420105,0.988861084,0.05418396
00:34.7,1063,242129.0049,-0.134857178,0.988189697,0.053283691
00:34.7,1064,242129.0149,-0.134063721,0.987701416,0.052871704
00:34.7,1065,242129.0249,-0.134262085,0.987442017,0.055847168
00:34.8,1066,242129.0349,-0.135116577,0.987365723,0.058135986
00:34.8,1067,242129.0449,-0.135848999,0.988586426,0.056991577
00:34.8,1068,242129.0549,-0.136550903,0.988616943,0.055618286
00:34.8,1069,242129.065,-0.137405396,0.988204956,0.056030273
00:34.8,1070,242129.075,-0.137191772,0.987762451,0.056854248
00:34.8,1071,242129.085,-0.137176514,0.987838745,0.056289673
00:34.8,1072,242129.095,-0.137176514,0.987792969,0.05619812
00:34.8,1073,242129.105,-0.137329102,0.986877441,0.056976318
00:34.8,1074,242129.115,-0.136367798,0.986282349,0.056503296
00:34.8,1075,242129.125,-0.13470459,0.986038208,0.057678223
00:34.9,1076,242129.135,-0.135620117,0.98727417,0.057479858
00:34.9,1077,242129.145,-0.135757446,0.98739624,0.056671143
00:34.9,1078,242129.1551,-0.136779785,0.986724854,0.057617188
00:34.9,1079,242129.1651,-0.136245728,0.988433838,0.056488037
00:34.9,1080,242129.1751,-0.136672974,0.990036011,0.053924561
00:34.9,1081,242129.1851,-0.138580322,0.99156189,0.052978516
00:34.9,1082,242129.1951,-0.137405396,0.992889404,0.052459717
00:34.9,1083,242129.2051,-0.136932373,0.99168396,0.054397583
00:34.9,1084,242129.2151,-0.136825562,0.989715576,0.055984497
00:34.9,1085,242129.2251,-0.136123657,0.98651123,0.057174683
00:35.0,1086,242129.2351,-0.135482788,0.986557007,0.057067871
00:35.0,1087,242129.2451,-0.134674072,0.98638916,0.053497314
00:35.0,1088,242129.2552,-0.135009766,0.990203857,0.052383423
00:35.0,1089,242129.2652,-0.133331299,0.991577148,0.051940918
00:35.0,1090,242129.2752,-0.130828857,0.992218018,0.055099487
00:35.0,1091,242129.2852,-0.13079834,0.990646362,0.056015015
00:35.0,1092,242129.2952,-0.132965088,0.989303589,0.055038452
00:35.0,1093,242129.3052,-0.134460449,0.986602783,0.054504395
00:35.0,1094,242129.3152,-0.135787964,0.985198975,0.053649902
00:35.0,1095,242129.3252,-0.135452271,0.985916138,0.055160522
00:35.1,1096,242129.3352,-0.137069702,0.987258911,0.053771973
00:35.1,1097,242129.3453,-0.135406494,0.988616943,0.052993774
00:35.1,1098,242129.3553,-0.135101318,0.988922119,0.053024292
00:35.1,1099,242129.3653,-0.134140015,0.988433838,0.054016113
00:35.1,1100,242129.3753,-0.134857178,0.988739014,0.053939819
00:35.1,1101,242129.3853,-0.134857178,0.988006592,0.053405762
00:35.1,1102,242129.3953,-0.135131836,0.986419678,0.052215576
00:35.1,1103,242129.4053,-0.136367798,0.986251831,0.052307129
00:35.1,1104,242129.4153,-0.136642456,0.988204956,0.052978516
00:35.1,1105,242129.4253,-0.136230469,0.992477417,0.05090332
00:35.2,1106,242129.4353,-0.13621521,0.993347168,0.051315308
00:35.2,1107,242129.4454,-0.136184692,0.990859985,0.052566528
00:35.2,1108,242129.4554,-0.135894775,0.987533569,0.053543091
00:35.2,1109,242129.4654,-0.134521484,0.98777771,0.056167603
