node,ground_truth,inference,iscorrect,p
node1,standing,sitting,0,0.0
node2,sitting,walking,0,0.0
node3,standing,walking,0,0.0
node1,walking,sitting,0,0.0
node2,sitting,walking,0,0.0
node3,walking,standing,0,0.0
node1,sitting,standing,0,0.0
node2,walking,standing,0,0.0
node3,sitting,walking,0,0.0
node1,standing,sitting,0,0.0
node2,standing,walking,0,0.0
node3,sitting,standing,0,0.0
node1,walking,standing,0,0.0
node2,walking,standing,0,0.0
node3,walking,standing,0,0.0
node1,standing,sitting,0,0.0
node2,walking,standing,0,0.0
node3,sitting,walking,0,0.0
node1,standing,sitting,0,0.0
node2,sitting,walking,0,0.0
node3,walking,standing,0,0.0
node1,standing,sitting,0,0.0
node2,sitting,walking,0,0.0
node3,sitting,standing,0,0.0
node1,sitting,standing,0,0.0
node2,standing,walking,0,0.0
node3,sitting,standing,0,0.0
node1,standing,sitting,0,0.0
node2,sitting,walking,0,0.0
node3,sitting,standing,0,0.0
node1,walking,standing,0,0.0
node2,sitting,standing,0,0.0
node3,sitting,standing,0,0.0
node1,walking,sitting,0,0.0
node2,standing,sitting,0,0.0
node3,standing,sitting,0,0.0
node1,sitting,walking,0,0.0
node2,walking,standing,0,0.0
node3,sitting,walking,0,0.0
node1,sitting,walking,0,0.0
node2,sitting,standing,0,0.0
node3,walking,sitting,0,0.0
node1,walking,sitting,0,0.0
node2,sitting,standing,0,0.0
node3,standing,walking,0,0.0
node1,standing,sitting,0,0.0
node2,standing,sitting,0,0.0
node3,standing,sitting,0,0.0
node1,walking,sitting,0,0.0
node2,standing,walking,0,0.0
node3,standing,sitting,0,0.0
node1,walking,sitting,0,0.0
node2,standing,walking,0,0.0
node3,standing,walking,0,0.0
node1,standing,sitting,0,0.0
node2,walking,sitting,0,0.0
node3,standing,sitting,0,0.0
node1,walking,standing,0,0.0
node2,standing,walking,0,0.0
node3,standing,walking,0,0.0
node1,sitting,walking,0,0.0
node2,standing,sitting,0,0.0
node3,sitting,standing,0,0.0
node1,standing,sitting,0,0.0
node2,standing,walking,0,0.0
node3,standing,sitting,0,0.0
node1,sitting,walking,0,0.0
node2,standing,walking,0,0.0
node3,standing,sitting,0,0.0
node1,walking,standing,0,0.0
node2,walking,sitting,0,0.0
node3,sitting,standing,0,0.0
node1,standing,walking,0,0.0
node2,walking,standing,0,0.0
node3,walking,standing,0,0.0
node1,standing,walking,0,0.0
node2,standing,walking,0,0.0
node3,walking,sitting,0,0.0
node1,walking,standing,0,0.0
node2,sitting,walking,0,0.0
node3,sitting,standing,0,0.0
node1,walking,sitting,0,0.0
node2,walking,sitting,0,0.0
node3,standing,sitting,0,0.0
node1,sitting,walking,0,0.0
node2,sitting,walking,0,0.0
node3,sitting,standing,0,0.0
node1,sitting,standing,0,0.0
node2,walking,standing,0,0.0
node3,standing,walking,0,0.0
node1,sitting,walking,0,0.0
node2,standing,walking,0,0.0
node3,walking,sitting,0,0.0
node1,walking,standing,0,0.0
node2,sitting,walking,0,0.0
node3,standing,walking,0,0.0
node1,walking,sitting,0,0.0
node2,standing,walking,0,0.0
node3,walking,sitting,0,0.0
node1,walking,sitting,0,0.0
node2,standing,walking,0,0.0
node3,sitting,standing,0,0.0
node1,walking,sitting,0,0.0
node2,walking,standing,0,0.0
node3,standing,sitting,0,0.0
node1,sitting,standing,0,0.0
node2,walking,sitting,0,0.0
node3,sitting,walking,0,0.0
node1,standing,walking,0,0.0
node2,sitting,walking,0,0.0
node3,sitting,walking,0,0.0
node1,walking,standing,0,0.0
node2,sitting,standing,0,0.0
node3,sitting,standing,0,0.0
node1,standing,walking,0,0.0
node2,sitting,walking,0,0.0
node3,walking,standing,0,0.0
node1,walking,standing,0,0.0
node2,walking,standing,0,0.0
node3,standing,walking,0,0.0
node1,sitting,walking,0,0.0
node2,standing,walking,0,0.0
node3,sitting,standing,0,0.0
node1,walking,sitting,0,0.0
node2,walking,standing,0,0.0
node3,standing,sitting,0,0.0
node1,standing,walking,0,0.0
node2,walking,standing,0,0.0
node3,standing,sitting,0,0.0
node1,standing,sitting,0,0.0
node2,standing,sitting,0,0.0
node3,walking,sitting,0,0.0
node1,sitting,walking,0,0.0
node2,sitting,walking,0,0.0
node3,standing,sitting,0,0.0
node1,standing,sitting,0,0.0
node2,standing,walking,0,0.0
node3,standing,walking,0,0.0
node1,sitting,standing,0,0.0
node2,walking,standing,0,0.0
node3,sitting,standing,0,0.0
node1,standing,walking,0,0.0
node2,walking,sitting,0,0.0
node3,standing,sitting,0,0.0
node1,walking,standing,0,0.0
node2,standing,walking,0,0.0
node3,sitting,standing,0,0.0
node1,standing,sitting,0,0.0
node2,standing,sitting,0,0.0
node3,sitting,walking,0,0.0
node1,standing,sitting,0,0.0
node2,sitting,walking,0,0.0
node3,standing,sitting,0,0.0
node1,walking,sitting,0,0.0
node2,standing,walking,0,0.0
node3,walking,standing,0,0.0
node1,walking,standing,0,0.0
node2,sitting,walking,0,0.0
node3,standing,sitting,0,0.0
node1,standing,walking,0,0.0
node2,sitting,walking,0,0.0
node3,standing,walking,0,0.0
node1,walking,standing,0,0.0
node2,standing,walking,0,0.0
node3,walking,sitting,0,0.0
node1,standing,sitting,0,0.0
node2,standing,sitting,0,0.0
node3,walking,sitting,0,0.0
node1,standing,walking,0,0.0
node2,standing,walking,0,0.0
node3,standing,sitting,0,0.0
node1,sitting,walking,0,0.0
