actual_mode,predicted_mode,iscorrect_mode,iscorrect_inferences,total_nodes,p
sitting,walking,0,0,1,0.0
sitting,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,walking,1,0,1000,0.0
standing,standing,1,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
standing,standing,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
