actual_mode,predicted_mode,iscorrect_mode,iscorrect_inferences,total_nodes
walking,standing,0,2,5
walking,standing,0,4,5
walking,standing,0,2,5
walking,standing,0,3,5
walking,standing,0,2,5
walking,walking,1,4,5
walking,standing,0,3,5
walking,standing,0,3,5
walking,walking,1,3,5
walking,standing,0,3,5
walking,standing,0,3,5
walking,standing,0,4,5
walking,sitting,0,3,5
walking,sitting,0,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,4,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,5,5
sitting,sitting,1,4,5
sitting,sitting,1,4,5
sitting,sitting,1,3,4
sitting,sitting,1,3,4
sitting,sitting,1,3,4
sitting,sitting,1,4,4
sitting,sitting,1,3,3
sitting,sitting,1,3,3
sitting,sitting,1,3,3
sitting,sitting,1,3,3
sitting,sitting,1,3,3
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
sitting,sitting,1,2,2
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,walking,1,1,1
walking,standing,0,0,1
walking,standing,0,0,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,standing,0,0,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,walking,1,1,1
walking,standing,0,0,1
walking,walking,1,1,1
walking,walking,1,1,1
walking,walking,1,1,1
walking,walking,1,1,1
walking,walking,1,1,1
walking,standing,0,0,1
walking,standing,0,0,1
walking,standing,0,0,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
standing,standing,1,1,1
