node,ground_truth,inference,correct
node1,standing,standing,1
node2,walking,standing,0
node3,standing,standing,1
node4,walking,standing,0
node5,walking,standing,0
node1,standing,standing,1
node2,walking,walking,1
node3,standing,standing,1
node4,walking,standing,0
node5,walking,walking,1
node1,standing,standing,1
node2,walking,walking,1
node3,standing,standing,1
node4,walking,standing,0
node5,walking,walking,1
node1,standing,standing,1
node2,walking,standing,0
node3,standing,standing,1
node4,walking,standing,0
node5,walking,standing,0
node1,standing,standing,1
node2,walking,standing,0
node3,standing,standing,1
node4,walking,walking,1
node5,walking,standing,0
node1,walking,walking,1
node2,walking,standing,0
node3,standing,standing,1
node4,walking,walking,1
node5,walking,standing,0
node1,walking,walking,1
node2,walking,standing,0
node3,standing,standing,1
node4,walking,standing,0
node5,walking,standing,0
node1,walking,walking,1
node2,walking,sitting,0
node3,walking,standing,0
node4,walking,walking,1
node5,standing,standing,1
node1,walking,walking,1
node2,walking,standing,0
node3,walking,walking,1
node4,walking,walking,1
node5,standing,standing,1
node1,walking,walking,1
node2,walking,standing,0
node3,walking,walking,1
node4,walking,standing,0
node5,standing,standing,1
node1,walking,walking,1
node2,walking,standing,0
node3,walking,standing,0
node4,walking,standing,0
node5,standing,standing,1
node1,walking,walking,1
node2,walking,sitting,0
node3,walking,walking,1
node4,walking,standing,0
node5,standing,standing,1
node1,walking,walking,1
node2,walking,sitting,0
node3,walking,walking,1
node4,walking,sitting,0
node5,standing,standing,1
node1,walking,walking,1
node2,sitting,sitting,1
node3,walking,standing,0
node4,walking,sitting,0
node5,standing,standing,1
node1,walking,standing,0
node2,sitting,sitting,1
node3,walking,standing,0
node4,walking,walking,1
node5,standing,standing,1
node1,walking,standing,0
node2,sitting,sitting,1
node3,walking,standing,0
node4,sitting,sitting,1
node5,standing,standing,1
node1,walking,standing,0
node2,sitting,sitting,1
node3,walking,standing,0
node4,sitting,sitting,1
node5,standing,standing,1
node1,walking,walking,1
node2,sitting,sitting,1
node3,walking,standing,0
node4,sitting,sitting,1
node5,standing,standing,1
node1,walking,standing,0
node2,sitting,sitting,1
node3,walking,sitting,0
node4,sitting,sitting,1
node5,standing,standing,1
node1,walking,walking,1
node2,sitting,sitting,1
node3,walking,standing,0
node4,sitting,sitting,1
node5,standing,standing,1
node1,walking,sitting,0
node2,sitting,sitting,1
node3,walking,sitting,0
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,sitting,sitting,1
