loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),
25:01.0,488,232795.422,-0.171951294,0.931716919,0.196563721,walking
25:01.0,489,232795.432,-0.198059082,0.987533569,0.167327881,walking
25:01.0,490,232795.4421,-0.170944214,1.057510376,0.144897461,walking
25:01.0,491,232795.4521,-0.056716919,1.092437744,0.131134033,walking
25:01.0,492,232795.4621,0.0181427,1.07963562,0.151367188,walking
25:01.0,493,232795.4721,0.038803101,1.043670654,0.163116455,walking
25:01.0,494,232795.4822,0.086715698,1.001037598,0.20135498,walking
25:01.0,495,232795.4922,0.149276733,0.966445923,0.242401123,walking
25:01.0,496,232795.5022,0.192230225,0.948455811,0.238998413,walking
25:01.0,497,232795.5123,0.234741211,0.937942505,0.227523804,walking
25:01.1,498,232795.5223,0.276260376,0.931274414,0.228134155,walking
25:01.1,499,232795.5323,0.312103271,0.927490234,0.214889526,walking
25:01.1,500,232795.5423,0.334594727,0.93208313,0.19418335,walking
25:01.1,501,232795.5524,0.347122192,0.943450928,0.169891357,walking
25:01.1,502,232795.5624,0.347961426,0.972961426,0.13319397,walking
25:01.1,503,232795.5724,0.321594238,0.991867065,0.111663818,walking
25:01.1,504,232795.5824,0.283599854,0.996063232,0.096496582,walking
25:01.1,505,232795.5925,0.243164063,0.998855591,0.099319458,walking
25:01.1,506,232795.6025,0.196670532,0.992553711,0.105789185,walking
25:01.1,507,232795.6125,0.172531128,0.986953735,0.098709106,walking
25:01.2,508,232795.6226,0.153961182,0.980819702,0.094741821,walking
25:01.2,509,232795.6326,0.135299683,0.967605591,0.071975708,walking
25:01.2,510,232795.6426,0.134460449,0.963775635,0.07585144,walking
25:01.2,511,232795.6526,0.148025513,0.968170166,0.103607178,walking
25:01.2,512,232795.6627,0.167480469,0.969787598,0.13734436,walking
25:01.2,513,232795.6727,0.203994751,0.968231201,0.168701172,walking
25:01.2,514,232795.6827,0.23890686,0.961105347,0.176681519,walking
25:01.2,515,232795.6928,0.244476318,0.9453125,0.186981201,walking
25:01.2,516,232795.7028,0.241989136,0.929092407,0.184921265,walking
25:01.2,517,232795.7128,0.225234985,0.909698486,0.168716431,walking
25:01.3,518,232795.7228,0.196273804,0.907775879,0.160705566,walking
25:01.3,519,232795.7329,0.162109375,0.942932129,0.163742065,walking
25:01.3,520,232795.7429,0.134078979,0.985855103,0.173995972,walking
25:01.3,521,232795.7529,0.107910156,1.016662598,0.173339844,walking
25:01.3,522,232795.763,0.085403442,1.031173706,0.171279907,walking
25:01.3,523,232795.773,0.078872681,1.028686523,0.163635254,walking
25:01.3,524,232795.783,0.059402466,1.015640259,0.173171997,walking
25:01.3,525,232795.793,0.044540405,1.020812988,0.160263062,walking
25:01.3,526,232795.8031,0.058822632,1.034332275,0.150054932,walking
25:01.3,527,232795.8131,0.080612183,1.042221069,0.142028809,walking
25:01.4,528,232795.8231,0.107116699,1.028289795,0.142578125,walking
25:01.4,529,232795.8331,0.132568359,1.0052948,0.14894104,walking
25:01.4,530,232795.8432,0.142608643,0.985198975,0.173965454,walking
25:01.4,531,232795.8532,0.158538818,0.957489014,0.188247681,walking
25:01.4,532,232795.8632,0.145492554,0.956710815,0.176589966,walking
25:01.4,533,232795.8733,0.133148193,0.974227905,0.158187866,walking
25:01.4,534,232795.8833,0.130187988,0.988677979,0.143615723,walking
25:01.4,535,232795.8933,0.129699707,0.988372803,0.137542725,walking
25:01.4,536,232795.9033,0.131286621,1.006851196,0.118179321,walking
25:01.4,537,232795.9134,0.14050293,1.035140991,0.088592529,walking
25:01.5,538,232795.9234,0.140335083,1.042053223,0.07208252,walking
25:01.5,539,232795.9334,0.141387939,1.033584595,0.084640503,walking
25:01.5,540,232795.9435,0.160324097,1.019210815,0.09135437,walking
25:01.5,541,232795.9535,0.178604126,1.01953125,0.117828369,walking
25:01.5,542,232795.9635,0.208877563,1.051940918,0.151535034,walking
25:01.5,543,232795.9735,0.26133728,1.09046936,0.157943726,walking
25:01.5,544,232795.9836,0.32585144,1.107177734,0.135452271,walking
25:01.5,545,232795.9936,0.362823486,1.088180542,0.111297607,walking
25:01.5,546,232796.0036,0.342849731,1.064208984,0.107910156,walking
25:01.5,547,232796.0137,0.300384521,1.055419922,0.116394043,walking
25:01.6,548,232796.0237,0.256286621,1.05291748,0.123168945,walking
25:01.6,549,232796.0337,0.216064453,1.055587769,0.154403687,walking
25:01.6,550,232796.0437,0.179168701,1.068725586,0.202972412,walking
25:01.6,551,232796.0538,0.13885498,1.080963135,0.225830078,walking
25:01.6,552,232796.0638,0.096740723,1.08354187,0.210708618,walking
25:01.6,553,232796.0738,0.040969849,1.072021484,0.185882568,walking
25:01.6,554,232796.0838,-0.015960693,1.0652771,0.17326355,walking
25:01.6,555,232796.0939,-0.092483521,1.063720703,0.138870239,walking
25:01.6,556,232796.1039,-0.194000244,1.067901611,0.122573853,walking
25:01.6,557,232796.1139,-0.273025513,1.069274902,0.136474609,walking
25:01.7,558,232796.124,-0.292816162,1.067504883,0.152191162,walking
25:01.7,559,232796.134,-0.285995483,1.066574097,0.171813965,walking
25:01.7,560,232796.144,-0.273193359,1.055099487,0.178268433,walking
25:01.7,561,232796.154,-0.254974365,1.055541992,0.17729187,walking
25:01.7,562,232796.1641,-0.210418701,1.077423096,0.206115723,walking
25:01.7,563,232796.1741,-0.230957031,1.088943481,0.201660156,walking
25:01.7,564,232796.1841,-0.267120361,1.061569214,0.158813477,walking
25:01.7,565,232796.1942,-0.228240967,1.052688599,0.147628784,walking
25:01.7,566,232796.2042,-0.163330078,1.06338501,0.120147705,walking
25:01.7,567,232796.2142,-0.118103027,1.06036377,0.090011597,walking
25:01.8,568,232796.2242,-0.068984985,1.071151733,0.104705811,walking
25:01.8,569,232796.2343,-0.009796143,1.108886719,0.112228394,walking
25:01.8,570,232796.2443,0.026290894,1.136795044,0.073455811,walking
25:01.8,571,232796.2543,0.079727173,1.146392822,0.078491211,walking
25:01.8,572,232796.2644,0.116836548,1.184844971,-0.043991089,walking
25:01.8,573,232796.2744,0.13142395,1.162887573,-0.14201355,walking
25:01.8,574,232796.2844,0.145294189,1.105194092,-0.124969482,walking
25:01.8,575,232796.2944,0.160614014,1.067001343,-0.134780884,walking
25:01.8,576,232796.3045,0.160308838,1.018814087,-0.124206543,walking
25:01.8,577,232796.3145,0.153411865,0.981323242,-0.126449585,walking
25:01.9,578,232796.3245,0.133010864,0.952560425,-0.101638794,walking
25:01.9,579,232796.3345,0.133560181,0.9478302,-0.070541382,walking
25:01.9,580,232796.3446,0.11756897,0.94052124,-0.052093506,walking
25:01.9,581,232796.3546,0.100646973,0.92616272,-0.030105591,walking
25:01.9,582,232796.3646,0.09765625,0.924560547,-0.050750732,walking
25:01.9,583,232796.3747,0.09765625,0.907623291,-0.051086426,walking
25:01.9,584,232796.3847,0.099472046,0.888366699,-0.047195435,walking
25:01.9,585,232796.3947,0.089645386,0.858474731,-0.069091797,walking
25:01.9,586,232796.4047,0.071777344,0.830734253,-0.087753296,walking
25:01.9,587,232796.4148,0.058029175,0.807525635,-0.114807129,walking
25:02.0,588,232796.4248,0.047317505,0.78302002,-0.157516479,walking
25:02.0,589,232796.4348,0.058609009,0.758377075,-0.203887939,walking
25:02.0,590,232796.4449,0.07333374,0.730789185,-0.221984863,walking
25:02.0,591,232796.4549,0.094650269,0.723434448,-0.238067627,walking
25:02.0,592,232796.4649,0.135650635,0.719238281,-0.246139526,walking
25:02.0,593,232796.4749,0.151641846,0.709518433,-0.238235474,walking
25:02.0,594,232796.485,0.167053223,0.712249756,-0.225082397,walking
25:02.0,595,232796.495,0.181838989,0.709854126,-0.219543457,walking
25:02.0,596,232796.505,0.194381714,0.712600708,-0.208221436,walking
25:02.0,597,232796.5151,0.200653076,0.721038818,-0.200042725,walking
25:02.1,598,232796.5251,0.204116821,0.73815918,-0.193328857,walking
25:02.1,599,232796.5351,0.206329346,0.757247925,-0.202407837,walking
25:02.1,600,232796.5451,0.202545166,0.780212402,-0.221069336,walking
25:02.1,601,232796.5552,0.201828003,0.802276611,-0.240234375,walking
25:02.1,602,232796.5652,0.197250366,0.823776245,-0.264770508,walking
25:02.1,603,232796.5752,0.193389893,0.851669312,-0.291763306,walking
25:02.1,604,232796.5852,0.196456909,0.874755859,-0.300674438,walking
25:02.1,605,232796.5953,0.200057983,0.890670776,-0.304214478,walking
25:02.1,606,232796.6053,0.199172974,0.893920898,-0.310302734,walking
25:02.1,607,232796.6153,0.188659668,0.904052734,-0.350845337,walking
25:02.2,608,232796.6254,0.210769653,0.910751343,-0.373443604,walking
25:02.2,609,232796.6354,0.246017456,0.91418457,-0.391342163,walking
25:02.2,610,232796.6454,0.283798218,0.931671143,-0.404708862,walking
25:02.2,611,232796.6554,0.326004028,0.962768555,-0.41897583,walking
25:02.2,612,232796.6655,0.359802246,0.993011475,-0.422729492,walking
25:02.2,613,232796.6755,0.381393433,1.014419556,-0.42930603,walking
25:02.2,614,232796.6855,0.386611938,1.023971558,-0.442703247,walking
25:02.2,615,232796.6956,0.390655518,1.042404175,-0.454681396,walking
25:02.2,616,232796.7056,0.38609314,1.047149658,-0.466690063,walking
25:02.2,617,232796.7156,0.378082275,1.030944824,-0.469421387,walking
25:02.3,618,232796.7256,0.381378174,0.990570068,-0.456954956,walking
25:02.3,619,232796.7357,0.399139404,0.947738647,-0.449783325,walking
25:02.3,620,232796.7457,0.404434204,0.894317627,-0.441558838,walking
25:02.3,621,232796.7557,0.389892578,0.833129883,-0.438186646,walking
25:02.3,622,232796.7658,0.361068726,0.774536133,-0.448013306,walking
25:02.3,623,232796.7758,0.338058472,0.723098755,-0.478652954,walking
25:02.3,624,232796.7858,0.322402954,0.67980957,-0.497772217,walking
25:02.3,625,232796.7958,0.291442871,0.657714844,-0.496582031,walking
25:02.3,626,232796.8059,0.25378418,0.638961792,-0.474578857,walking
25:02.4,627,232796.8159,0.220245361,0.657150269,-0.432952881,walking
25:02.4,628,232796.8259,0.191207886,0.785491943,-0.431015015,walking
25:02.4,629,232796.8359,0.143280029,0.976699829,-0.495773315,walking
25:02.4,630,232796.846,0.09854126,1.159866333,-0.483932495,walking
25:02.4,631,232796.856,0.096710205,1.299591064,-0.262207031,walking
25:02.4,632,232796.866,0.141769409,1.486419678,-0.042160034,walking
25:02.4,633,232796.8761,0.1509552,1.780731201,0.040054321,walking
25:02.4,634,232796.8861,0.06942749,2.017715454,-0.00769043,walking
25:02.4,635,232796.8961,-0.037368774,2.069778442,-0.100357056,walking
25:02.4,636,232796.9061,-0.15713501,1.830474854,-0.099594116,walking
25:02.5,637,232796.9162,-0.300430298,1.381439209,0.013168335,walking
25:02.5,638,232796.9262,-0.412399292,0.965667725,0.15020752,walking
25:02.5,639,232796.9362,-0.469680786,0.705963135,0.219909668,walking
25:02.5,640,232796.9463,-0.487365723,0.528900146,0.229888916,walking
25:02.5,641,232796.9563,-0.417755127,0.417892456,0.173431396,walking
25:02.5,642,232796.9663,-0.226989746,0.413650513,0.184127808,walking
25:02.5,643,232796.9763,-0.008651733,0.460281372,0.275009155,walking
25:02.5,644,232796.9864,0.211837769,0.565185547,0.392333984,walking
25:02.5,645,232796.9964,0.405654907,0.749542236,0.492553711,walking
25:02.5,646,232797.0064,0.528457642,1.008224487,0.499740601,walking
25:02.6,647,232797.0165,0.538818359,1.227966309,0.414840698,walking
25:02.6,648,232797.0265,0.443695068,1.298065186,0.255050659,walking
25:02.6,649,232797.0365,0.279327393,1.245025635,0.135421753,walking
25:02.6,650,232797.0465,0.153137207,1.199905396,0.067108154,walking
25:02.6,651,232797.0566,0.055053711,1.144821167,0.024414063,walking
