loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
22:12.0,665,232626.4157,-0.039199829,0.935760498,-0.262176514,walking
22:12.0,666,232626.4257,-0.004852295,0.911636353,-0.268600464,walking
22:12.0,667,232626.4357,0.01071167,0.900817871,-0.271331787,walking
22:12.0,668,232626.4457,0.013702393,0.891281128,-0.287368774,walking
22:12.0,669,232626.4558,0.020935059,0.880706787,-0.302719116,walking
22:12.0,670,232626.4658,0.025802612,0.874572754,-0.312103271,walking
22:12.0,671,232626.4758,0.023742676,0.866973877,-0.323226929,walking
22:12.0,672,232626.4858,0.014389038,0.862136841,-0.338439941,walking
22:12.0,673,232626.4959,0.00428772,0.863265991,-0.347702026,walking
22:12.0,674,232626.5059,-0.007644653,0.863052368,-0.357833862,walking
22:12.1,675,232626.5159,-0.022583008,0.867156982,-0.375350952,walking
22:12.1,676,232626.526,-0.031341553,0.868713379,-0.38571167,walking
22:12.1,677,232626.536,-0.026657104,0.866607666,-0.371963501,walking
22:12.1,678,232626.546,-0.030944824,0.871444702,-0.378692627,walking
22:12.1,679,232626.556,-0.046051025,0.882858276,-0.395019531,walking
22:12.1,680,232626.5661,-0.043304443,0.904586792,-0.407592773,walking
22:12.1,681,232626.5761,-0.031219482,0.918457031,-0.417800903,walking
22:12.1,682,232626.5861,-0.004150391,0.923294067,-0.412063599,walking
22:12.1,683,232626.5962,0.008560181,0.923171997,-0.390991211,walking
22:12.1,684,232626.6062,0.018585205,0.923294067,-0.384963989,walking
22:12.2,685,232626.6162,0.040115356,0.922698975,-0.39402771,walking
22:12.2,686,232626.6262,0.057022095,0.928314209,-0.403991699,walking
22:12.2,687,232626.6363,0.073638916,0.932907104,-0.405670166,walking
22:12.2,688,232626.6463,0.08152771,0.932495117,-0.409545898,walking
22:12.2,689,232626.6563,0.076858521,0.931243896,-0.409744263,walking
22:12.2,690,232626.6663,0.066238403,0.924713135,-0.410858154,walking
22:12.2,691,232626.6764,0.046813965,0.910751343,-0.414810181,walking
22:12.2,692,232626.6864,0.029312134,0.893615723,-0.419754028,walking
22:12.2,693,232626.6964,0.020019531,0.877212524,-0.416000366,walking
22:12.2,694,232626.7065,0.003265381,0.860458374,-0.413513184,walking
22:12.3,695,232626.7165,-0.013412476,0.838531494,-0.418960571,walking
22:12.3,696,232626.7265,-0.027008057,0.814285278,-0.413284302,walking
22:12.3,697,232626.7365,-0.038528442,0.801132202,-0.417404175,walking
22:12.3,698,232626.7466,-0.042648315,0.789550781,-0.422454834,walking
22:12.3,699,232626.7566,-0.042755127,0.773544312,-0.429794312,walking
22:12.3,700,232626.7666,-0.033996582,0.759109497,-0.438247681,walking
22:12.3,701,232626.7767,-0.030776978,0.740844727,-0.430114746,walking
22:12.3,702,232626.7867,-0.041610718,0.727142334,-0.420166016,walking
22:12.3,703,232626.7967,-0.055862427,0.731628418,-0.427764893,walking
22:12.3,704,232626.8067,-0.065612793,0.738327026,-0.438995361,walking
22:12.4,705,232626.8168,-0.062255859,0.746032715,-0.446044922,walking
22:12.4,706,232626.8268,-0.053512573,0.762039185,-0.459640503,walking
22:12.4,707,232626.8368,-0.044036865,0.774703979,-0.472183228,walking
22:12.4,708,232626.8468,-0.034759521,0.791534424,-0.492279053,walking
22:12.4,709,232626.8569,-0.016571045,0.812347412,-0.504898071,walking
22:12.4,710,232626.8669,0.011276245,0.819320679,-0.511306763,walking
22:12.4,711,232626.8769,0.043411255,0.819900513,-0.523712158,walking
22:12.4,712,232626.887,0.06439209,0.815628052,-0.535964966,walking
22:12.4,713,232626.897,0.070236206,0.813583374,-0.543106079,walking
22:12.4,714,232626.907,0.062362671,0.809082031,-0.55519104,walking
22:12.5,715,232626.917,0.051528931,0.805343628,-0.569030762,walking
22:12.5,716,232626.9271,0.032531738,0.815551758,-0.568481445,walking
22:12.5,717,232626.9371,-0.001846313,0.884292603,-0.547714233,walking
22:12.5,718,232626.9471,-0.061813354,1.027481079,-0.518890381,walking
22:12.5,719,232626.9572,-0.105026245,1.24206543,-0.496307373,walking
22:12.5,720,232626.9672,-0.143554688,1.468215942,-0.489761353,walking
22:12.5,721,232626.9772,-0.146713257,1.641677856,-0.442565918,walking
22:12.5,722,232626.9872,-0.119369507,1.766616821,-0.344070435,walking
22:12.5,723,232626.9973,-0.130111694,1.858352661,-0.224990845,walking
22:12.5,724,232627.0073,-0.194549561,1.841491699,-0.145751953,walking
22:12.6,725,232627.0173,-0.225784302,1.688064575,-0.119476318,walking
22:12.6,726,232627.0273,-0.20475769,1.430999756,-0.06036377,walking
22:12.6,727,232627.0374,-0.190048218,1.112167358,0.052993774,walking
22:12.6,728,232627.0474,-0.211502075,0.815124512,0.181243896,walking
22:12.6,729,232627.0574,-0.273590088,0.574813843,0.237487793,walking
22:12.6,730,232627.0675,-0.338119507,0.436233521,0.208221436,walking
22:12.6,731,232627.0775,-0.353866577,0.395477295,0.138076782,walking
22:12.6,732,232627.0875,-0.26171875,0.442459106,0.084564209,walking
22:12.6,733,232627.0975,-0.088592529,0.529586792,0.078994751,walking
22:12.6,734,232627.1076,0.072433472,0.657318115,0.155578613,walking
22:12.7,735,232627.1176,0.191009521,0.82901001,0.254074097,walking
22:12.7,736,232627.1276,0.257324219,1.006713867,0.288619995,walking
22:12.7,737,232627.1377,0.216400146,1.120742798,0.268310547,walking
22:12.7,738,232627.1477,0.130493164,1.16758728,0.223831177,walking
22:12.7,739,232627.1577,0.053268433,1.203094482,0.204101563,walking
22:12.7,740,232627.1677,0.011642456,1.216522217,0.184570313,walking
22:12.7,741,232627.1778,-0.018463135,1.193054199,0.1771698,walking
22:12.7,742,232627.1878,-0.045883179,1.12387085,0.148071289,walking
22:12.7,743,232627.1978,-0.077804565,1.037063599,0.134414673,walking
22:12.7,744,232627.2079,-0.090957642,0.972717285,0.116241455,walking
22:12.8,745,232627.2179,-0.086212158,0.92276001,0.097503662,walking
22:12.8,746,232627.2279,-0.06489563,0.869827271,0.061813354,walking
22:12.8,747,232627.2379,-0.018966675,0.863296509,0.158981323,walking
22:12.8,748,232627.248,0.004516602,0.839523315,0.229614258,walking
22:12.8,749,232627.258,0.038513184,0.80657959,0.17980957,walking
22:12.8,750,232627.268,0.087768555,0.788879395,0.152557373,walking
22:12.8,751,232627.278,0.141448975,0.793701172,0.141662598,walking
22:12.8,752,232627.2881,0.213745117,0.816040039,0.121673584,walking
22:12.8,753,232627.2981,0.257492065,0.85774231,0.059890747,walking
22:12.8,754,232627.3081,0.24446106,0.899337769,0.0105896,walking
22:12.9,755,232627.3182,0.247879028,0.956207275,0.008117676,walking
22:12.9,756,232627.3282,0.257888794,1.043777466,0.065216064,walking
22:12.9,757,232627.3382,0.206710815,1.149749756,0.069747925,walking
22:12.9,758,232627.3482,0.121124268,1.206344604,0.036315918,walking
22:12.9,759,232627.3583,0.074951172,1.193893433,-0.016906738,walking
22:12.9,760,232627.3683,0.044662476,1.157485962,-0.043670654,walking
22:12.9,761,232627.3783,0.011993408,1.085464478,-0.019226074,walking
22:12.9,762,232627.3884,-0.005828857,1.03755188,0.025039673,walking
22:12.9,763,232627.3984,-0.017501831,0.982498169,0.032516479,walking
22:12.9,764,232627.4084,-0.00944519,0.935501099,0.03604126,walking
22:13.0,765,232627.4184,-0.018661499,0.915649414,0.075637817,walking
22:13.0,766,232627.4285,0.009506226,0.932373047,0.128128052,walking
22:13.0,767,232627.4385,0.04826355,0.964065552,0.200378418,walking
22:13.0,768,232627.4485,0.089767456,1.000717163,0.249938965,walking
22:13.0,769,232627.4585,0.143493652,1.021957397,0.231704712,walking
22:13.0,770,232627.4686,0.193161011,1.016708374,0.200408936,walking
22:13.0,771,232627.4786,0.184738159,0.979263306,0.146316528,walking
22:13.0,772,232627.4886,0.164810181,0.95942688,0.085784912,walking
22:13.0,773,232627.4987,0.124389648,0.952087402,0.077178955,walking
22:13.0,774,232627.5087,0.085372925,0.977600098,0.093521118,walking
22:13.1,775,232627.5187,0.065353394,1.025558472,0.12399292,walking
22:13.1,776,232627.5287,0.058761597,1.069625854,0.136917114,walking
22:13.1,777,232627.5388,0.062423706,1.086700439,0.137252808,walking
22:13.1,778,232627.5488,0.056228638,1.075378418,0.132843018,walking
22:13.1,779,232627.5588,0.041885376,1.048538208,0.116104126,walking
22:13.1,780,232627.5689,0.048950195,1.019515991,0.092941284,walking
22:13.1,781,232627.5789,0.052886963,1.023117065,0.066635132,walking
22:13.1,782,232627.5889,0.064575195,1.025863647,0.055770874,walking
22:13.1,783,232627.5989,0.092483521,1.029251099,0.049163818,walking
22:13.1,784,232627.609,0.111419678,1.024673462,0.025863647,walking
22:13.2,785,232627.619,0.13772583,1.022537231,0.012771606,walking
22:13.2,786,232627.629,0.131362915,1.020233154,-0.039550781,walking
22:13.2,787,232627.639,0.113739014,1.01322937,-0.114562988,walking
22:13.2,788,232627.6491,0.104873657,1.008651733,-0.159286499,walking
22:13.2,789,232627.6591,0.067626953,1.008666992,-0.202590942,walking
22:13.2,790,232627.6691,0.047027588,1.036239624,-0.181838989,walking
22:13.2,791,232627.6792,0.050079346,1.091644287,-0.136245728,walking
22:13.2,792,232627.6892,0.052566528,1.148651123,-0.073638916,walking
22:13.2,793,232627.6992,0.066268921,1.18510437,0.011871338,walking
22:13.2,794,232627.7092,0.072189331,1.198471069,0.095397949,walking
22:13.3,795,232627.7193,0.064147949,1.176422119,0.16468811,walking
22:13.3,796,232627.7293,0.052871704,1.133514404,0.197509766,walking
22:13.3,797,232627.7393,0.024993896,1.115158081,0.176300049,walking
22:13.3,798,232627.7494,-0.059906006,1.10168457,0.148300171,walking
22:13.3,799,232627.7594,-0.197128296,1.14163208,0.076339722,walking
22:13.3,800,232627.7694,-0.384490967,1.231933594,0.025741577,walking
22:13.3,801,232627.7794,-0.521942139,1.359634399,0.036453247,walking
22:13.3,802,232627.7895,-0.630142212,1.522003174,0.031402588,walking
22:13.3,803,232627.7995,-0.723388672,1.612976074,0.020568848,walking
22:13.3,804,232627.8095,-0.725402832,1.593017578,0.021316528,walking
22:13.4,805,232627.8195,-0.593200684,1.514724731,0.067214966,walking
22:13.4,806,232627.8296,-0.395828247,1.46307373,0.121902466,walking
22:13.4,807,232627.8396,-0.186721802,1.416503906,0.206512451,walking
22:13.4,808,232627.8496,-0.040588379,1.366256714,0.193435669,walking
22:13.4,809,232627.8597,0.095687866,1.311264038,0.158203125,walking
22:13.4,810,232627.8697,0.251403809,1.280456543,0.067871094,walking
22:13.4,811,232627.8797,0.328933716,1.234725952,0.021087646,walking
22:13.4,812,232627.8897,0.276000977,1.133560181,-0.036651611,walking
22:13.4,813,232627.8998,0.211349487,1.02305603,-0.008499146,walking
22:13.4,814,232627.9098,0.113861084,0.898376465,0.105224609,walking
22:13.5,815,232627.9198,0.054260254,0.795898438,0.081420898,walking
22:13.5,816,232627.9299,0.025970459,0.757843018,0.041427612,walking
22:13.5,817,232627.9399,0.007476807,0.718261719,0.035598755,walking
22:13.5,818,232627.9499,-0.007629395,0.69972229,0.012451172,walking
22:13.5,819,232627.9599,-0.042907715,0.694885254,-0.00718689,walking
22:13.5,820,232627.97,-0.080886841,0.678543091,-0.02571106,walking
22:13.5,821,232627.98,-0.084671021,0.644683838,-0.047561646,walking
22:13.5,822,232627.99,-0.079803467,0.606781006,-0.044631958,walking
22:13.5,823,232628.0001,-0.091796875,0.557998657,-0.064453125,walking
22:13.5,824,232628.0101,-0.09197998,0.502868652,-0.126586914,walking
22:13.6,825,232628.0201,-0.062332153,0.442672729,-0.122634888,walking
22:13.6,826,232628.0301,-0.031311035,0.407012939,-0.132904053,walking
22:13.6,827,232628.0402,-0.000213623,0.397979736,-0.157684326,walking
22:13.6,828,232628.0502,0.017425537,0.40675354,-0.196731567,walking
22:13.6,829,232628.0602,0.044113159,0.425567627,-0.244537354,walking
22:13.6,830,232628.0702,0.087310791,0.453933716,-0.280807495,walking
22:13.6,831,232628.0803,0.139862061,0.493804932,-0.309631348,walking
22:13.6,832,232628.0903,0.183441162,0.538391113,-0.348876953,walking
22:13.6,833,232628.1003,0.218719482,0.585510254,-0.38722229,walking
22:13.6,834,232628.1104,0.249755859,0.639282227,-0.407470703,walking
22:13.7,835,232628.1204,0.252670288,0.6953125,-0.431869507,walking
22:13.7,836,232628.1304,0.240356445,0.76902771,-0.471572876,walking
22:13.7,837,232628.1404,0.212249756,0.856140137,-0.512374878,walking
22:13.7,838,232628.1505,0.182357788,0.956329346,-0.561782837,walking
22:13.7,839,232628.1605,0.154129028,1.075805664,-0.621124268,walking
22:13.7,840,232628.1705,0.129135132,1.198654175,-0.678070068,walking
22:13.7,841,232628.1806,0.119888306,1.324310303,-0.714675903,walking
22:13.7,842,232628.1906,0.116470337,1.409332275,-0.719512939,walking
22:13.7,843,232628.2006,0.123733521,1.431335449,-0.673629761,walking
22:13.7,844,232628.2106,0.128936768,1.401565552,-0.622558594,walking
22:13.8,845,232628.2207,0.114318848,1.313980103,-0.595046997,walking
22:13.8,846,232628.2307,0.09046936,1.178634644,-0.560699463,walking
22:13.8,847,232628.2407,0.084182739,1.023223877,-0.524627686,walking
22:13.8,848,232628.2507,0.076400757,0.879211426,-0.513778687,walking
22:13.8,849,232628.2608,0.039138794,0.72366333,-0.552215576,walking
22:13.8,850,232628.2708,0.026229858,0.600112915,-0.620925903,walking
22:13.8,851,232628.2808,0.028381348,0.475601196,-0.673782349,walking
22:13.8,852,232628.2909,0.038711548,0.38142395,-0.702667236,walking
22:13.8,853,232628.3009,0.059051514,0.350524902,-0.721618652,walking
22:13.8,854,232628.3109,0.045913696,0.413223267,-0.697097778,walking
22:13.9,855,232628.3209,-0.024490356,0.61239624,-0.586746216,walking
22:13.9,856,232628.331,-0.121810913,0.934188843,-0.458084106,walking
22:13.9,857,232628.341,-0.283111572,1.397659302,-0.356201172,walking
22:13.9,858,232628.351,-0.446609497,1.939193726,-0.274765015,walking
22:13.9,859,232628.3611,-0.471801758,2.349273682,-0.185928345,walking
22:13.9,860,232628.3711,-0.427871704,2.524002075,-0.075088501,walking
22:13.9,861,232628.3811,-0.359024048,2.327560425,-0.06072998,walking
22:13.9,862,232628.3911,-0.17515564,1.542785645,0.07434082,walking
22:13.9,863,232628.4012,-0.048675537,0.762954712,0.337722778,walking
22:13.9,864,232628.4112,-0.161331177,0.290374756,0.466217041,walking
22:14.0,865,232628.4212,-0.315246582,0.151931763,0.432571411,walking
22:14.0,866,232628.4312,-0.402542114,0.190429688,0.369506836,walking
22:14.0,867,232628.4413,-0.359893799,0.345733643,0.324020386,walking
22:14.0,868,232628.4513,-0.213623047,0.585189819,0.328460693,walking
22:14.0,869,232628.4613,-0.082336426,0.904586792,0.404800415,walking
22:14.0,870,232628.4714,0.016082764,1.222396851,0.431854248,walking
22:14.0,871,232628.4814,0.128845215,1.456115723,0.397888184,walking
22:14.0,872,232628.4914,0.250106812,1.609191895,0.359237671,walking
22:14.0,873,232628.5014,0.363052368,1.642105103,0.358474731,walking
22:14.0,874,232628.5115,0.395675659,1.512908936,0.285339355,walking
22:14.1,875,232628.5215,0.364151001,1.340606689,0.254898071,walking
22:14.1,876,232628.5315,0.308746338,1.158050537,0.268325806,walking
22:14.1,877,232628.5416,0.197311401,1.012512207,0.250595093,walking
22:14.1,878,232628.5516,0.058242798,0.911636353,0.196029663,walking
22:14.1,879,232628.5616,-0.069503784,0.840408325,0.121902466,walking
22:14.1,880,232628.5716,-0.162200928,0.821716309,0.11138916,walking
22:14.1,881,232628.5817,-0.24697876,0.792007446,0.173431396,walking
22:14.1,882,232628.5917,-0.250640869,0.775115967,0.218032837,walking
22:14.1,883,232628.6017,-0.149276733,0.778915405,0.241638184,walking
22:14.1,884,232628.6117,-0.016281128,0.779510498,0.241043091,walking
22:14.2,885,232628.6218,0.106399536,0.814056396,0.243713379,walking
22:14.2,886,232628.6318,0.234222412,0.893386841,0.200637817,walking
22:14.2,887,232628.6418,0.329421997,0.973007202,0.127380371,walking
22:14.2,888,232628.6519,0.43006897,1.038513184,0.090942383,walking
22:14.2,889,232628.6619,0.482971191,1.05406189,0.092529297,walking
22:14.2,890,232628.6719,0.45664978,1.01864624,0.11958313,walking
22:14.2,891,232628.6819,0.393829346,0.978393555,0.102905273,walking
22:14.2,892,232628.692,0.317855835,0.937789917,0.080429077,walking
22:14.2,893,232628.702,0.263412476,0.900314331,0.054855347,walking
22:14.2,894,232628.712,0.229415894,0.883239746,0.036376953,walking
22:14.3,895,232628.7221,0.212554932,0.879562378,0.017440796,walking
22:14.3,896,232628.7321,0.167312622,0.849441528,-0.011291504,walking
22:14.3,897,232628.7421,0.147232056,0.839767456,-0.033447266,walking
22:14.3,898,232628.7521,0.134765625,0.86378479,-0.017425537,walking
22:14.3,899,232628.7622,0.09236145,0.894760132,-0.009399414,walking
22:14.3,900,232628.7722,0.063369751,0.94480896,0.014190674,walking
22:14.3,901,232628.7822,0.039489746,1.008850098,0.026763916,walking
22:14.3,902,232628.7923,0.044509888,1.048812866,0.034667969,walking
22:14.3,903,232628.8023,0.082321167,1.060745239,0.063278198,walking
22:14.3,904,232628.8123,0.128158569,1.041595459,0.100296021,walking
22:14.4,905,232628.8223,0.178085327,1.018890381,0.144073486,walking
22:14.4,906,232628.8324,0.215209961,1.013000488,0.178985596,walking
22:14.4,907,232628.8424,0.217498779,1.03125,0.178833008,walking
22:14.4,908,232628.8524,0.198806763,1.052368164,0.153137207,walking
22:14.4,909,232628.8624,0.180541992,1.091705322,0.120010376,walking
22:14.4,910,232628.8725,0.154678345,1.136291504,0.092254639,walking
22:14.4,911,232628.8825,0.130477905,1.159896851,0.072143555,walking
22:14.4,912,232628.8925,0.102966309,1.158889771,0.052139282,walking
22:14.4,913,232628.9026,0.074615479,1.150924683,0.055175781,walking
22:14.4,914,232628.9126,0.049591064,1.144592285,0.065917969,walking
22:14.5,915,232628.9226,0.029220581,1.133590698,0.068344116,walking
22:14.5,916,232628.9326,0.001464844,1.114562988,0.059249878,walking
22:14.5,917,232628.9427,-0.011138916,1.094497681,0.027114868,walking
22:14.5,918,232628.9527,-0.007507324,1.074310303,-0.009338379,walking
22:14.5,919,232628.9627,-0.00843811,1.060745239,-0.035522461,walking
22:14.5,920,232628.9728,-0.01322937,1.049255371,-0.021194458,walking
22:14.5,921,232628.9828,-0.022735596,1.036651611,-0.044372559,walking
22:14.5,922,232628.9928,-0.010360718,1.040512085,-0.075256348,walking
22:14.5,923,232629.0028,0.017868042,1.078704834,-0.037246704,walking
22:14.6,924,232629.0129,0.043289185,1.134063721,0.030044556,walking
22:14.6,925,232629.0229,0.060073853,1.18586731,0.092941284,walking
22:14.6,926,232629.0329,0.087112427,1.20022583,0.141998291,walking
22:14.6,927,232629.0429,0.10697937,1.165496826,0.184310913,walking
22:14.6,928,232629.053,0.133514404,1.13243103,0.212493896,walking
22:14.6,929,232629.063,0.148086548,1.113250732,0.246459961,walking
22:14.6,930,232629.073,0.15411377,1.099395752,0.256988525,walking
22:14.6,931,232629.0831,0.144378662,1.087203979,0.231765747,walking
22:14.6,932,232629.0931,0.122833252,1.096725464,0.199127197,walking
22:14.6,933,232629.1031,0.059921265,1.119216919,0.194854736,walking
22:14.7,934,232629.1131,-0.053009033,1.078399658,0.229431152,walking
22:14.7,935,232629.1232,-0.220123291,1.031463623,0.256332397,walking
