loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
19:29.0,358,232463.4107,0.364944458,1.659454346,0.133499146,walking
19:29.0,359,232463.4207,0.398025513,1.164382935,0.200714111,walking
19:29.0,360,232463.4307,0.447982788,0.756195068,0.227218628,walking
19:29.0,361,232463.4407,0.414047241,0.600494385,0.222946167,walking
19:29.0,362,232463.4508,0.31552124,0.555175781,0.204208374,walking
19:29.0,363,232463.4608,0.27482605,0.583175659,0.170578003,walking
19:29.0,364,232463.4708,0.300018311,0.663375854,0.192962646,walking
19:29.0,365,232463.4808,0.382568359,0.792953491,0.218139648,walking
19:29.0,366,232463.4909,0.480316162,0.940628052,0.22706604,walking
19:29.0,367,232463.5009,0.543182373,1.028305054,0.234985352,walking
19:29.1,368,232463.5109,0.557662964,1.03956604,0.233444214,walking
19:29.1,369,232463.521,0.567321777,0.999298096,0.198471069,walking
19:29.1,370,232463.531,0.582244873,0.942306519,0.117141724,walking
19:29.1,371,232463.541,0.567108154,0.922241211,-0.048706055,walking
19:29.1,372,232463.551,0.509552002,0.919921875,-0.18977356,walking
19:29.1,373,232463.5611,0.45489502,0.906494141,-0.174453735,walking
19:29.1,374,232463.5711,0.401306152,0.8828125,-0.044189453,walking
19:29.1,375,232463.5811,0.352020264,0.853790283,0.099853516,walking
19:29.1,376,232463.5911,0.311553955,0.829589844,0.223953247,walking
19:29.1,377,232463.6012,0.307510376,0.760925293,0.266174316,walking
19:29.2,378,232463.6112,0.355865479,0.704956055,0.233413696,walking
19:29.2,379,232463.6212,0.445022583,0.687255859,0.180358887,walking
19:29.2,380,232463.6313,0.520263672,0.661575317,0.161010742,walking
19:29.2,381,232463.6413,0.559783936,0.647186279,0.1434021,walking
19:29.2,382,232463.6513,0.612060547,0.637649536,0.087371826,walking
19:29.2,383,232463.6613,0.637710571,0.623748779,0.044723511,walking
19:29.2,384,232463.6714,0.634246826,0.656417847,0.025772095,walking
19:29.2,385,232463.6814,0.614028931,0.709899902,0.037368774,walking
19:29.2,386,232463.6914,0.5884552,0.746810913,0.066055298,walking
19:29.2,387,232463.7015,0.57144165,0.760116577,0.046981812,walking
19:29.3,388,232463.7115,0.551742554,0.747451782,0.010452271,walking
19:29.3,389,232463.7215,0.533111572,0.736907959,-0.035430908,walking
19:29.3,390,232463.7315,0.556152344,0.733169556,-0.060043335,walking
